PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE,WATER,PIPELINE,WL1392,50mm AC,N/A,N/A,N/A,N/A,50,126.89,FAIR,240,N/A,IN USE,WL1392,REITZ,"27° 48' 5.273"" S "," 28° 25' 59.218"" N "," 27° 48' 5.935"" S "," 28° 26' 3.792"" N",1343,ROOS STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL941,75mm PVC,N/A,N/A,N/A,N/A,75,142.12,FAIR,240,N/A,IN USE,WL941,PETSANA,"27° 47' 46.970"" S "," 28° 27' 30.253"" N "," 27° 47' 50.178"" S "," 28° 27' 29.583"" N",1205,12 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL948,75mm PVC,N/A,N/A,N/A,N/A,75,61.89,FAIR,240,N/A,IN USE,WL948,PETSANA,"27° 47' 51.999"" S "," 28° 27' 30.889"" N "," 27° 47' 50.291"" S "," 28° 27' 29.697"" N",1210,8 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL949,75mm PVC,N/A,N/A,N/A,N/A,75,49.62,FAIR,240,N/A,IN USE,WL949,PETSANA,"27° 47' 53.335"" S "," 28° 27' 31.902"" N "," 27° 47' 51.999"" S "," 28° 27' 30.889"" N",3376,20 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL950,75mm PVC,N/A,N/A,N/A,N/A,75,70.05,FAIR,240,N/A,IN USE,WL950,PETSANA,"27° 47' 55.216"" S "," 28° 27' 33.341"" N "," 27° 47' 53.335"" S "," 28° 27' 31.902"" N",3417,NYWERHEID STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL951,75mm PVC,N/A,N/A,N/A,N/A,75,59.55,FAIR,240,N/A,IN USE,WL951,PETSANA,"27° 47' 56.816"" S "," 28° 27' 34.564"" N "," 27° 47' 55.216"" S "," 28° 27' 33.341"" N",3434,NYWERHEID STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL952,75mm PVC,N/A,N/A,N/A,N/A,75,63.48,FAIR,240,N/A,IN USE,WL952,PETSANA,"27° 47' 58.520"" S "," 28° 27' 35.869"" N "," 27° 47' 56.816"" S "," 28° 27' 34.564"" N",1381,VAN BARNEVELD STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL953,75mm PVC,N/A,N/A,N/A,N/A,75,4.68,FAIR,240,N/A,IN USE,WL953,PETSANA,"27° 47' 50.291"" S "," 28° 27' 29.697"" N "," 27° 47' 50.178"" S "," 28° 27' 29.583"" N",1382,130 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL976,75mm PVC,N/A,N/A,N/A,N/A,75,398.18,FAIR,240,N/A,IN USE,WL976,PETSANA,"27° 48' 0.450"" S "," 28° 27' 40.468"" N "," 27° 48' 11.125"" S "," 28° 27' 48.674"" N",1367,98 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1034,75mm PVC,N/A,N/A,N/A,N/A,75,180.81,FAIR,240,N/A,IN USE,WL1034,PETSANA,"27° 47' 44.671"" S "," 28° 27' 2.613"" N "," 27° 47' 47.831"" S "," 28° 26' 57.047"" N",1183,35 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1035,75mm PVC,N/A,N/A,N/A,N/A,75,402.43,FAIR,240,N/A,IN USE,WL1035,PETSANA,"27° 47' 47.831"" S "," 28° 26' 57.047"" N "," 27° 47' 52.820"" S "," 28° 26' 45.169"" N",1184,55 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1036,75mm PVC,N/A,N/A,N/A,N/A,75,161.79,FAIR,240,N/A,IN USE,WL1036,PETSANA,"27° 47' 46.405"" S "," 28° 27' 3.086"" N "," 27° 47' 49.305"" S "," 28° 26' 58.159"" N",1185,51 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1037,75mm PVC,N/A,N/A,N/A,N/A,75,193.68,FAIR,240,N/A,IN USE,WL1037,PETSANA,"27° 47' 49.305"" S "," 28° 26' 58.159"" N "," 27° 47' 52.766"" S "," 28° 26' 52.253"" N",1186,50 AVE,N/A,N/A,N/A,N/A,N/A,WATER
